player_id,player_name,ERA,FIP,WHIP,K9,BB9,HR9,KBB,QS,GS,year
14588,김윤식,4.22,4.24303,1.49,5.063,3.013,0.482,1.68,2.0,16.0,2023
14589,이민호,5.03,5.14081,1.63,3.203,4.576,0.4579999999999999,0.7,0.0,5.0,2023
14595,정구범,7.82,8.42034,2.21,4.263,8.526,2.132,0.5,0.0,2.0,2023
14600,소형준,11.45,5.71292,2.27,3.273,2.455,0.818,1.3333,0.0,3.0,2023
14613,허윤동,10.13,5.46178,2.63,6.75,10.125,0.0,0.6667,0.0,1.0,2023
14615,황동재,7.11,6.22402,1.93,7.674,5.968,1.705,1.2857,0.0,7.0,2023
14617,뷰캐넌,2.54,3.04556,1.15,6.654,2.059,0.191,3.2326,21.0,30.0,2023
14619,남지민,6.45,3.80415,1.78,5.496,3.106,0.0,1.7692,1.0,7.0,2023
14621,한승주,3.9500000000000006,4.44928,1.58,7.005,3.948,0.764,1.7742,0.0,6.0,2023
14627,스트레일리,4.37,4.37335,1.48,7.842,4.145,0.672,1.8919,4.0,16.0,2023
14674,김동혁,7.32,4.51793,1.7500000000000002,5.492,4.119,0.2289999999999999,1.3333,0.0,2.0,2023
14763,이용준,4.3,5.00003,1.55,6.716,5.91,0.672,1.1364,1.0,12.0,2023
14769,김동주,4.14,4.26928,1.38,6.779,4.021,0.574,1.6856999999999998,4.0,17.0,2023
14770,최승용,3.97,4.02856,1.3500000000000003,6.649,2.757,0.73,2.4118,4.0,20.0,2023
14780,강효종,6.23,4.78621,1.7100000000000002,5.815,4.985,0.415,1.1667,0.0,7.0,2023
14784,장재영,5.53,5.37719,1.7999999999999998,8.414,8.288,0.502,1.0152,2.0,17.0,2023
14788,이의리,3.96,3.62675,1.49,10.663,6.357,0.273,1.6774,6.0,28.0,2023
14799,이재희,3.38,5.71178,1.13,5.625,5.625,1.125,1.0,0.0,1.0,2023
14808,김기중,4.63,4.68893,1.54,7.349,4.633,0.639,1.5862,0.0,6.0,2023
15001,수아레즈,3.92,3.11873,1.49,7.333,2.667,0.25,2.75,10.0,19.0,2023
15003,플럿코,2.41,3.1390099999999994,1.18,7.37,2.2620000000000005,0.365,3.2581,15.0,21.0,2023
15011,반즈,3.28,3.4031,1.33,7.766999999999999,2.959,0.317,2.625,18.0,30.0,2023
15013,문동주,3.72,3.65125,1.31,7.205,3.185,0.455,2.2619,7.0,23.0,2023
15063,황동하,6.61,6.408860000000001,1.79,5.457,6.032,1.436,0.9048,0.0,6.0,2023
15067,주승우,9.56,7.79928,2.56,4.5,11.812,0.562,0.381,0.0,2.0,2023
15073,이명종,5.209999999999999,5.38437,1.58,4.105,3.789,0.789,1.0833,0.0,2.0,2023
15101,이원재,27.0,13.1493,6.0,0.0,27.0,0.0,0.0,0.0,1.0,2023
15143,벤자민,3.54,3.14428,1.21,8.831,2.531,0.675,3.4889,11.0,29.0,2023
15146,페냐,3.6000000000000005,4.06244,1.17,7.461,2.994,0.711,2.4915,19.0,32.0,2023
15147,파노니,4.26,3.65374,1.32,7.215,2.514,0.656,2.8696,5.0,15.0,2023
15153,브랜든,2.4900000000000007,3.1594800000000003,1.05,8.599,2.58,0.344,3.3333,13.0,18.0,2023
15421,김서현,7.25,5.63585,2.01,10.478,9.269,0.403,1.1304,0.0,1.0,2023
15432,윤영철,4.04,4.54956,1.4,5.429,3.522,0.734,1.5417,7.0,24.0,2023
15455,이준호,4.83,5.33665,1.48,5.4,4.263,0.853,1.2667,0.0,2.0,2023
15462,송영진,5.7,4.75774,1.63,7.225,5.893999999999999,0.57,1.2258,1.0,9.0,2023
15474,오상원,6.6,5.16262,1.8,4.2,5.4,0.0,0.7778000000000002,0.0,1.0,2023
15485,김동규,22.846153846153843,16.033915384615383,4.153846153846153,1.1249999999999998,50.62499999999999,1.1249999999999998,0.0555499999999999,0.0,2.0,2023
15486,박명근,5.08,4.82136,1.5,7.013,4.909,0.7010000000000001,1.4286,0.0,1.0,2023
15496,이호성,2.65,4.75517,1.24,5.824,5.294,0.529,1.1,0.0,2.0,2023
15528,맥카티,3.39,3.63082,1.3,8.031,3.115,0.692,2.5778,13.0,24.0,2023
15531,후라도,2.65,3.14584,1.12,7.203,2.009,0.343,3.5854,20.0,30.0,2023
15533,앤더슨,3.7599999999999993,3.8265,1.29,7.291,2.962,0.684,2.4615,8.0,14.0,2023
15534,메디나,6.05,5.55963,1.6,5.586,4.5,0.931,1.2414,3.0,12.0,2023
15535,페디,2.0,2.2162,0.95,10.431,1.747,0.449,5.9714,21.0,30.0,2023
15536,와이드너,,,,,,,,,,2023
15538,딜런,8.0,7.6604,1.67,2.0,5.0,2.0,0.4,0.0,2.0,2023
15540,스미스,6.75,3.1367799999999995,1.13,6.75,0.0,0.0,99.99,0.0,1.0,2023
15542,슐서,5.62,4.33653,1.61,6.3420000000000005,2.537,1.087,2.5,3.0,9.0,2023
15643,산체스,3.79,3.92468,1.3,7.071,2.0,0.929,3.5357,8.0,24.0,2023
15644,엘리아스,3.7,4.08685,1.32,6.373,2.261,0.822,2.8182,12.0,21.0,2023
15646,맥키니,6.519999999999999,6.14479,1.6299999999999997,5.916,5.461,1.517,1.0833,4.0,12.0,2023
15648,산체스,5.94,3.76604,1.48,8.34,2.12,0.99,3.9333,3.0,11.0,2023
15653,태너,2.92,3.80753,1.1,6.541,1.809,0.835,3.6154,8.0,11.0,2023
10058,양현종,4.1,4.68571,1.25,6.776,2.154,1.103,3.1463000000000005,15.0,29.0,2024
10126,김광현,4.93,5.1766,1.45,8.538,4.047,1.331,2.1096,13.0,31.0,2024
10131,박종훈,6.94,6.83449,1.66,8.743,5.4,1.8,1.619,1.0,9.0,2024
10156,정우람,99.99,4.23163,99.99,,,,99.99,0.0,1.0,2024
10220,이재학,5.52,5.25719,1.44,8.367,3.623,1.466,2.3095,7.0,21.0,2024
10363,백정현,5.95,5.5168,1.67,6.407,3.089,1.487,2.0741,4.0,15.0,2024
10533,정찬헌,7.88,6.48163,1.81,2.8120000000000003,1.688,1.688,1.6667,0.0,4.0,2024
10590,류현진,3.87,3.72952,1.36,7.674,1.876,0.682,4.0909,16.0,28.0,2024
10609,이태양,11.57,9.48163,2.04,1.929,1.929,3.857,1.0,0.0,1.0,2024
10652,임찬규,3.83,3.8584900000000006,1.39,9.134,2.821,0.806,3.2381,11.0,24.0,2024
10685,김대우,5.5,4.87532,1.49,6.029,2.359,1.049,2.5556,0.0,1.0,2024
