game_id,game_date,season,home_team_code,away_team_code,stadium_code,home_sp_id,away_sp_id,home_sp_name,away_sp_name,home_score,away_score,home_win,game_state,game_time,weather,temperature,humidity,windDirection,windSpeed,rainprobability,home_lineup_n_hitters,home_lineup_OPS,home_lineup_OBP,home_lineup_SLG,home_top5_n,home_top5_OPS,home_top5_OBP,away_lineup_n_hitters,away_lineup_OPS,away_lineup_OBP,away_lineup_SLG,away_top5_n,away_top5_OPS,away_top5_OBP,home_sp_player_id,home_sp_player_name,home_sp_ERA,home_sp_FIP,home_sp_WHIP,home_sp_K9,home_sp_BB9,home_sp_HR9,home_sp_KBB,home_sp_QS,home_sp_GS,away_sp_player_id,away_sp_player_name,away_sp_ERA,away_sp_FIP,away_sp_WHIP,away_sp_K9,away_sp_BB9,away_sp_HR9,away_sp_KBB,away_sp_QS,away_sp_GS,lineup_OPS_diff,lineup_OBP_diff,lineup_SLG_diff,top5_OPS_diff,top5_OBP_diff,sp_ERA_diff,sp_FIP_diff,sp_WHIP_diff,sp_K9_diff,sp_BB9_diff,sp_HR9_diff,sp_KBB_diff,y_home_win
20250001,2025-03-22 05:00:00,2025,5002,3001,1001,16286,15011,치리노스,반즈,12.0,2.0,1,3,14:00:00,10100,19.5,30,21100,3.8,,9,0.7928558490566039,0.3635524528301887,0.4293033962264151,5,0.8314771855010661,0.36983582089552236,9,0.7408268251273344,0.3536281833616299,0.38719864176570457,5,0.7602155902004454,0.3619291759465479,16286,치리노스,3.31,3.13333,1.18,6.966,1.831,0.254,3.8056,17,30,15011,반즈,5.32,4.21207,1.4,7.489,3.35,0.788,2.2353,3,8,0.05202902392926945,0.009924269468558844,0.04210475446071055,0.0712615953006207,0.007906644948974473,-2.0100000000000002,-1.0787399999999998,-0.21999999999999997,-0.5229999999999997,-1.5190000000000001,-0.534,1.5703,1
20250002,2025-03-22 05:00:00,2025,9002,6002,2001,16146,16298,앤더슨,콜어빈,6.0,5.0,1,3,14:00:00,10100,15.2,49,21100,4.2,,9,0.7267708270676692,0.34147729323308273,0.3852935338345864,5,0.732660797034291,0.3476380908248379,9,0.7472542130819765,0.3412370751213939,0.40601713796058275,5,0.7792606284658041,0.34628743068391865,16146,앤더슨,2.25,2.37029,1.0,12.845,2.674,0.682,4.8039,17,30,16298,콜어빈,4.48,4.5926,1.53,7.963,4.915,0.56,1.6203,10,28,-0.020483386014307325,0.0002402181116888391,-0.02072360412599633,-0.04659983143151314,0.0013506601409192243,-2.2300000000000004,-2.2223100000000002,-0.53,4.882000000000001,-2.241,0.122,3.1835999999999993,1
20250003,2025-03-22 05:00:00,2025,1001,10001,7003,15531,16339,후라도,로젠버그,13.0,5.0,1,3,14:00:00,10100,25.4,14,21300,2.5,,9,0.8215027352297594,0.35793927789934354,0.46356345733041576,5,0.8539992415623815,0.3711459992415624,9,0.7262063865546218,0.32795596638655466,0.3982504201680673,5,0.7720345611641655,0.3448613005911778,15531,후라도,2.6,3.79347,1.08,6.476,1.642,0.775,3.9444,23,30,16339,로젠버그,3.23,3.28545,1.17,9.558,2.987,0.597,3.2,6,13,0.09529634867513759,0.02998331151278888,0.06531303716234849,0.08196468039821603,0.026284698650384575,-0.6299999999999999,0.5080200000000001,-0.08999999999999986,-3.082,-1.3450000000000002,0.17800000000000005,0.7443999999999997,1
20250004,2025-03-22 05:00:00,2025,12001,7002,2002,16138,16313,헤이수스,폰세,3.0,4.0,0,3,14:00:00,10100,19.2,32,21300,4.2,,9,0.7061355769230769,0.3386907051282051,0.36744487179487173,5,0.7331712810886908,0.3454401689347724,9,0.7572265673494724,0.3446918063314711,0.4125347610180012,5,0.8014497466216216,0.3503251689189189,16138,헤이수스,3.96,3.65102,1.33,9.073,2.42,0.935,3.75,15,30,16313,폰세,1.8900000000000001,1.9227,0.94,12.554,2.042,0.498,6.1463,20,29,-0.05109099042639542,-0.006001101203266024,-0.04508988922312945,-0.06827846553293082,-0.0048849999841464875,2.07,1.7283199999999999,0.3900000000000001,-3.481,0.3780000000000001,0.43700000000000006,-2.3963,0
20250005,2025-03-22 05:00:00,2025,2002,11001,6001,16088,16350,네일,로건,9.0,2.0,1,3,14:00:00,10100,22.7,23,20900,1.5,,9,0.7931553017944536,0.3551941272430669,0.43796117455138667,5,0.8369903006789525,0.3652735208535403,9,0.7993459153410623,0.3628131571852251,0.43653275815583714,5,0.8351589285714285,0.369775,16088,네일,2.25,3.13122,1.07,8.325,2.245,0.329,3.7073,19,27,16350,로건,4.53,4.39089,1.43,7.751,3.4859999999999998,0.936,2.2239,16,31,-0.006190613546608659,-0.007619029942158184,0.0014284163955495255,0.001831372107524043,-0.004501479146459708,-2.2800000000000002,-1.2596699999999998,-0.3599999999999999,0.573999999999999,-1.2409999999999997,-0.607,1.4834,1
20250006,2025-03-23 05:00:00,2025,5002,3001,1001,12908,11310,손주영,박세웅,10.0,2.0,1,3,14:00:00,10100,22.6,21,20700,1.5,,9,0.7928558490566039,0.3635524528301887,0.4293033962264151,5,0.8314771855010661,0.36983582089552236,9,0.7440719636169074,0.35292455858747995,0.39114740502942746,5,0.7752985532661113,0.3637786058746164,12908,손주영,3.41,3.4925,1.32,7.765,2.882,0.471,2.6939,14,27,11310,박세웅,4.93,3.8371,1.48,8.739,3.025,0.84,2.8889,12,28,0.04878388543969647,0.010627894242708769,0.03815599119698765,0.056178632234954784,0.006057215020905948,-1.5199999999999996,-0.3445999999999998,-0.15999999999999992,-0.9740000000000011,-0.1429999999999998,-0.369,-0.19499999999999984,1
20250007,2025-03-23 05:00:00,2025,9002,6002,2001,10126,16299,김광현,잭로그,5.0,2.0,1,3,14:00:00,10100,18.8,41,21100,2.8,,9,0.7170055266579974,0.3314583875162549,0.3855471391417425,5,0.732660797034291,0.3476380908248379,9,0.7420685847137459,0.34222260970648066,0.3998459750072654,5,0.7792606284658041,0.34628743068391865,10126,김광현,5.0,3.77489,1.49,8.625,3.125,0.812,2.76,9,28,16299,잭로그,2.81,3.26182,1.05,7.977,1.994,0.409,4.0,17,29,-0.02506305805574849,-0.01076422219022577,-0.014298835865522885,-0.04659983143151314,0.0013506601409192243,2.19,0.5130699999999999,0.43999999999999995,0.6479999999999997,1.131,0.4030000000000001,-1.2400000000000002,1
20250008,2025-03-23 05:00:00,2025,1001,10001,7003,10363,11222,백정현,하영민,11.0,7.0,1,3,14:00:00,10100,26.0,11,20300,1.9,,9,0.8059490430027342,0.35557022122793935,0.45037882177479494,5,0.8358000785545955,0.3699041633935585,9,0.7470443854324734,0.33813467374810324,0.40890971168437024,5,0.7698761210762333,0.3483183856502242,10363,백정현,1.95,2.7805,0.8,8.629,1.948,0.278,4.4286,0,1,11222,하영민,4.99,3.78625,1.37,7.865,2.407,0.763,3.2683,14,28,0.058904657570260754,0.01743554747983611,0.0414691100904247,0.06592395747836222,0.02158577774333431,-3.04,-1.00575,-0.5700000000000001,0.7639999999999993,-0.4590000000000001,-0.485,1.1603000000000003,1
20250009,2025-03-23 05:00:00,2025,12001,7002,2002,13942,16153,쿠에바스,와이스,5.0,4.0,1,3,14:00:00,10100,20.8,31,20900,2.3,,9,0.7061355769230769,0.3386907051282051,0.36744487179487173,5,0.7331712810886908,0.3454401689347724,9,0.7678641304347826,0.3492364130434783,0.41862771739130433,5,0.8014497466216216,0.3503251689189189,13942,쿠에바스,5.4,5.6261,1.53,5.492,4.21,1.19,1.3043,7,18,16153,와이스,2.87,3.12386,1.02,10.427,2.8209999999999997,0.655,3.6964,21,30,-0.0617285535117057,-0.010545707915273206,-0.0511828455964326,-0.06827846553293082,-0.0048849999841464875,2.5300000000000002,2.50224,0.51,-4.935,1.3890000000000002,0.5349999999999999,-2.3921,1
20250010,2025-03-23 05:00:00,2025,2002,11001,6001,10058,16349,양현종,라일리,4.0,5.0,0,3,14:00:00,10100,23.6,28,20900,2.4,,9,0.7840859903381644,0.3505307568438003,0.433555233494364,5,0.8039372997711671,0.3561748283752861,9,0.7917791442480143,0.3593891878042531,0.4323899564437612,5,0.8351589285714285,0.369775,10058,양현종,5.06,4.34674,1.49,6.412,3.3529999999999998,0.706,1.9123,11,30,16349,라일리,3.45,3.12213,1.12,11.302,2.93,0.942,3.8571,16,30,-0.007693153909849926,-0.008858430960452801,0.0011652770506027643,-0.03122162880026136,-0.013600171624713941,1.6099999999999994,1.2246099999999998,0.3699999999999999,-4.89,0.4229999999999996,-0.236,-1.9447999999999999,0
